Ranking,Title,Author,Average Rating
1,"Ruthless Vows (Letters of Enchantment, #2)",Rebecca Ross,4.12
2,The Frozen River,Ariel Lawhon,4.46
3,"Heartstopper: Volume Five (Heartstopper, #5)",Alice Oseman,4.51
4,"The Fake Out (Vancouver Storm, #2)",Stephanie Archer,4.19
5,Same Time Next Year,Tessa Bailey,3.41
6,The Fake Mate,Lana Ferguson,3.7
7,"Gold (The Plated Prisoner, #5)",Raven Kennedy,4.1
8,"God of Fury (Legacy of Gods, #5)",Rina Kent,4.5
9,"Butcher & Blackbird (The Ruinous Love Trilogy, #1)",Brynne Weaver,4.15
10,This Spells Love,Kate Robb,3.84
11,The Other Mothers,Katherine Faulkner,3.85
12,That's Not My Name,Megan Lally,4.13
13,Skin of a Sinner,Avina St. Graves,3.61
14,"Sable Peak (The Edens, #6)",Devney Perry,4.23
15,The Perfect Fit,Sadie Kincaid,4.18
16,Taming Seraphine,Gigi Styx,3.97
17,"Hans (Alliance, #4)",S.J. Tilly,4.34
18,"The Gentleman's Gambit (A League of Extraordinary Women, #4)",Evie Dunmore,3.69
19,"Play With Me (Playing for Keeps, #2)",Becka Mack,4.25
20,When We Were Enemies,Emily Bleeker,4
21,"A River of Golden Bones (The Golden Court, #1)",A.K. Mulford,3.71
22,Feel-Good Productivity: How to Do More of What Matters to You,Ali Abdaal,4.01
23,All Good People Here,Ashley Flowers,3.84
24,"Unravel Me (Playing for Keeps, #3)",Becka Mack,4.28
25,Hissy Fit,Mary Kay Andrews,3.96
26,Raiders of the Lost Heart,Jo Segura,3.45
27,"P.S. You're Intolerable (The Harder They Fall, #3)",Julia Wolf,4.21
28,Oath and Honor: A Memoir and a Warning,Liz Cheney,4.62
29,The Second Chance Year,Melissa Wiesner,4.01
30,"Savannah Blues (Weezie and Bebe Mysteries, #1)",Mary Kay Andrews,3.98
31,My Darling Bride (The Darlings),Ilsa Madden-Mills,4.05
32,The Curse of Penryth Hall,Jess Armstrong,3.57
33,"In Your Wildest Dreams (Wildcat Hockey, #4)",Rebecca Jenshak,3.96
34,"When She Loves (The Fallen, #4)",Gabrielle Sands,4.05
35,Salt & Broom,Sharon Lynn Fisher,4.17
36,Technically Yours,Denise Williams,3.41
37,"Forged by Malice (Beasts of the Briar, #3)",Elizabeth Helen,4.18
38,Familia,Lauren E. Rico,4.12
39,The Vacation House,Jane Shemilt,3.72
40,The Last Caretaker,Jessica Strawser,3.9
41,"The Keeper (Playing to Win, #1)",Bella Matthews,3.95
42,Lethal Vows,T.L. Smith,3.79
43,Night Owl (Trasker #1),Andrew Mayne,4.17
44,What Waits in the Woods,Terri Parlato,3.64
45,On the Plus Side,Jenny L. Howe,3.79
46,"Two Dead Wives (DCI Clements, #2)",Adele Parks,3.88
47,"Brightest Light of Sunshine (The Brightest Light, #1)",Lisina Coney,3.86
48,Yours for the Taking,Gabrielle Korn,3.68
49,"Only When It's Us (Bergman Brothers, #1)",Chloe Liese,3.95
50,"The Kingdom, the Power, and the Glory: American Evangelicals in an Age of Extremism",Tim Alberta,4.49
51,"What Moves the Dead (Sworn Soldier, #1)",T. Kingfisher,3.9
52,"Never (Never, #1)",Jessa Hastings,3.23
53,Craving Danger (Kings Of Mafia #2),Michelle Heard,4.05
54,The Season of Secrets (A Secrets Novel Book 1),Q.B. Tyler,3.92
55,Never Lie,Freida McFadden,4.11
56,"The Ruined (The Beautiful, #4)",Renée Ahdieh,3.01
57,Midnight Purgatory (Bugrov Bratva #1),Nicole Fox,4.26
58,The Weekend Retreat,Tara Laskowski,3.47
59,"Own Me (The Wolf Hotel, #5)",K.A. Tucker,4.21
60,"Wings of Snow (Fae of Snow & Ice, #3)",Krista Street,4.13
61,Meet the Benedettos,Katie Cotugno,3.28
62,"Broken Dreams (Whitlock Family, #2)",Corinne Michaels,4.29
63,A Different Kind of Gone,Catherine Ryan Hyde,4.2
64,The Engagement Party,Darby Kane,3.31
